CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8, 
0,1,2,6,0,0,0,0,IF/ID.registerRs
0,3,5,2,0,0,0,0,IF/ID.registerRt
0,2,2,2,0,0,0,0,IF/ID.registerRd
0,0,1,2,6,0,0,0,ID/EX.registerRs
0,0,3,5,2,0,0,0,ID/EX.registerRt
0,0,2,2,2,0,0,0,ID/EX.registerRd
0,0,1,1,1,0,0,0,ID/EX.regWrite
0,0,0,0,0,0,0,0,ID/EX.memRead
0,0,1,1,1,0,0,0,ID/EX.RegDst
0,0,0,2,2,2,0,0,EX/MEM.registerRd
0,0,0,1,1,1,0,0,EX/MEM.regWrite
0,0,0,0,2,2,2,0,MEM/WB.registerRd
0,0,0,0,1,1,1,0,MEM/WB.regWrite
00,00,00,10,00,00,00,00,ForwardA
00,00,00,00,10,00,00,00,ForwardB
1,1,1,1,1,1,1,1,PCWrite
1,1,1,1,1,1,1,1,IF/IDWrite
0,0,0,0,0,0,0,0,ID/EXFlush
